Id,Label,,
132,Abstract Expressionism,,
133,Symbolism,,
134,High Renaissance,,
135,Neoclassicism,,
136,Minimalism,,
137,Neoclassicism,,
138,Post-Impressionism,,
139,Post-Impressionism,,
140,Conceptual Art,,
141,Color Field Painting,,
142,Color Field Painting,,
143,Minimalism,,
144,Expressionism,,
145,Expressionism,,
146,Expressionism,,
147,Neoclassicism,,
148,Impressionism,,
149,Symbolism,,
150,Expressionism,,
151,Rococo,,
152,Neoclassicism,,
153,Magic Realism,,
154,Surrealism,,
155,Pop Art,,
156,Post-Impressionism,,
157,Concretism,,
158,Expressionism,,
159,Conceptual Art,,
160,Color Field Painting,,
161,Art Nouveau (Modern),,
162,Dada,,
163,Abstract Expressionism,,
164,Realism,,
165,Neoclassicism,,
166,Rococo,,
167,Neoclassicism,,
168,Symbolism,,
169,Post-Painterly Abstraction,,
170,Neoclassicism,,
171,Neoclassicism,,
172,Neoclassicism,,
173,Neoclassicism,,
174,Abstract Expressionism,,
175,Art Nouveau (Modern),,
176,Post-Impressionism,,
177,Conceptual Art,,
178,Color Field Painting,,
179,Neoclassicism,,
180,Dada,,
181,Color Field Painting,,
182,Symbolism,,
183,Neoclassicism,,
184,Neoclassicism,,
185,Abstract Expressionism,,
186,Abstract Expressionism,,
187,Neoclassicism,,
188,Neoclassicism,,
189,Abstract Expressionism,,
190,Abstract Art,,
191,Conceptual Art,,
192,Color Field Painting,,
193,Romanticism,,
194,Neo-Dada,,
195,Expressionism,,
196,Romanticism,,
197,Art Nouveau (Modern),,
198,Neoclassicism,,
199,Realism,,
200,NaÌøve Art (Primitivism),,
201,Neoclassicism,,
202,Abstract Expressionism,,
203,Lyrical Abstraction,,
204,Neoclassicism,,
205,Northern Renaissance,,
206,Impressionism,,
207,Realism,,
208,Abstract Expressionism,,
209,Op Art,,
210,Neoclassicism,,
211,Realism,,
212,Expressionism,,
213,Expressionism,,
214,Art Nouveau (Modern),,
215,Abstract Expressionism,,
216,Ukiyo-e,,
217,Hard Edge Painting,,
218,Abstract Expressionism,,
219,Abstract Expressionism,,
220,Art Nouveau (Modern),,
221,Abstract Expressionism,,
222,Dada,,
223,Concretism,,
224,Abstract Expressionism,,
225,Art Nouveau (Modern),,
226,Abstract Expressionism,,
227,Automatic Painting,,
228,Art Nouveau (Modern),,
229,Abstract Expressionism,,
230,Kinetic Art,,
231,Romanticism,,
232,Kinetic Art,,
233,Art Nouveau (Modern),,
234,Abstract Expressionism,,
235,Expressionism,,
236,Automatic Painting,,
237,Hard Edge Painting,,
238,Art Nouveau (Modern),,
239,Abstract Expressionism,,
240,Art Nouveau (Modern),,
241,Conceptual Art,,
242,Automatic Painting,,
243,Concretism,,
244,Color Field Painting,,
245,Conceptual Art,,
246,Maximalism,,
247,Conceptual Art,,
248,Art Nouveau (Modern),,
249,Expressionism,,
250,Art Nouveau (Modern),,
251,Automatic Painting,,
252,Abstract Expressionism,,
253,Color Field Painting,,
254,Color Field Painting,,
255,Lyrical Abstraction,,
256,Art Informel,,
257,Pop Art,,
258,Color Field Painting,,
259,Maximalism,,
260,Photorealism,,
261,Expressionism,,
262,Color Field Painting,,
263,Art Nouveau (Modern),,
264,Art Nouveau (Modern),,
265,Color Field Painting,,
266,Concretism,,
267,New European Painting,,
268,Expressionism,,
269,Transautomatism,,
270,Art Informel,,
271,Cubism,,
272,Pop Art,,
273,Minimalism,,
274,Cubo-Expressionism,,
275,Color Field Painting,,
276,Abstract Art,,
277,Color Field Painting,,
278,Abstract Art,,
279,Expressionism,,
280,Art Informel,,
281,Art Informel,,
282,Pop Art,,
283,Color Field Painting,,
284,Art Nouveau (Modern),,
285,Art Nouveau (Modern),,
286,Lyrical Abstraction,,
287,Abstract Expressionism,,
288,Minimalism,,
289,Minimalism,,
290,Color Field Painting,,
291,Abstract Expressionism,,
292,Color Field Painting,,
293,Cubism,,
294,Conceptual Art,,
295,Tachisme,,
296,Lyrical Abstraction,,
297,Art Informel,,
298,Socialist Realism,,
299,Neoclassicism,,
300,Color Field Painting,,
301,Expressionism,,
302,Photorealism,,
303,Art Nouveau (Modern),,
304,Lyrical Abstraction,,
305,NaÌøve Art (Primitivism),,
306,Impressionism,,
307,Art Informel,,
308,Abstract Expressionism,,
309,Expressionism,,
310,Conceptual Art,,
311,Minimalism,,
312,Minimalism,,
313,Concretism,,
314,Hard Edge Painting,,
315,Conceptual Art,,
316,Art Informel,,
317,Lyrical Abstraction,,
318,Lyrical Abstraction,,
319,Transautomatism,,
320,Hard Edge Painting,,
321,Art Nouveau (Modern),,
322,Magic Realism,,
323,Conceptual Art,,
324,Color Field Painting,,
325,Abstract Expressionism,,
326,Expressionism,,
327,Conceptual Art,,
328,Minimalism,,
329,Pop Art,,
330,Concretism,,
331,Op Art,,
332,Lyrical Abstraction,,
333,Conceptual Art,,
334,Lyrical Abstraction,,
335,Minimalism,,
336,Art Nouveau (Modern),,
337,Nouveau RÌ©alisme,,
338,Conceptual Art,,
339,New Realism,,
340,Academicism,,
341,Color Field Painting,,
342,Conceptual Art,,
343,Abstract Expressionism,,
344,Pop Art,,
345,Lyrical Abstraction,,
346,Pop Art,,
347,Hard Edge Painting,,
348,Conceptual Art,,
349,Expressionism,,
350,Photorealism,,
351,Abstract Art,,
352,Minimalism,,
353,Conceptual Art,,
354,Hard Edge Painting,,
355,Art Nouveau (Modern),,
356,Kinetic Art,,
357,Ink and wash painting,,
358,Conceptual Art,,
359,Symbolism,,
360,New European Painting,,
361,Nouveau RÌ©alisme,,
362,Abstract Expressionism,,
363,Abstract Expressionism,,
364,Art Informel,,
365,Maximalism,,
366,Transautomatism,,
367,Expressionism,,
368,Minimalism,,
369,Conceptual Art,,
370,Automatic Painting,,
371,Concretism,,
372,Art Informel,,
373,Conceptual Art,,
374,Conceptual Art,,
375,Color Field Painting,,
376,Symbolism,,
377,Abstract Expressionism,,
378,Kinetic Art,,
379,Maximalism,,
380,Expressionism,,
381,Conceptual Art,,
382,Conceptual Art,,
383,Minimalism,,
384,Cubism,,
385,Neo-Dada,,
386,Surrealism,,
387,Conceptual Art,,
388,Pop Art,,
389,Abstract Art,,
390,Neo-Romanticism,,
391,Abstract Expressionism,,
392,Expressionism,,
393,Conceptual Art,,
394,Lyrical Abstraction,,
395,Hard Edge Painting,,
396,NaÌøve Art (Primitivism),,
397,Abstract Expressionism,,
398,Abstract Art,,
399,Color Field Painting,,
400,Kinetic Art,,
401,Minimalism,,
402,Abstract Expressionism,,
403,Abstract Expressionism,,
404,Lyrical Abstraction,,
405,Conceptual Art,,
406,Art Nouveau (Modern),,
407,Minimalism,,
408,Color Field Painting,,
409,Hard Edge Painting,,
410,Abstract Expressionism,,
411,Art Deco,,
412,Symbolism,,
413,Abstract Expressionism,,
414,Op Art,,
415,Color Field Painting,,
416,Minimalism,,
417,Conceptual Art,,
418,Transautomatism,,
419,Color Field Painting,,
420,Abstract Expressionism,,
421,Color Field Painting,,
422,NaÌøve Art (Primitivism),,
423,Minimalism,,
424,Art Informel,,
425,Maximalism,,
426,Cubism,,
427,Transautomatism,,
428,Neo-Pop Art,,
429,Color Field Painting,,
430,Transautomatism,,
431,Kinetic Art,,
432,Minimalism,,
433,Lyrical Abstraction,,
434,Abstract Expressionism,,
435,Abstract Expressionism,,
436,Transautomatism,,
437,Art Informel,,
438,Abstract Expressionism,,
439,Minimalism,,
440,Fauvism,,
441,Pop Art,,
442,Minimalism,,
443,Minimalism,,
444,Minimalism,,
445,Op Art,,
446,Tachisme,,
447,Minimalism,,
448,Lyrical Abstraction,,
449,Minimalism,,
450,Abstract Expressionism,,
451,Color Field Painting,,
452,Hyper-Realism,,
453,Cubism,,
454,Transautomatism,,
455,Minimalism,,
456,Lyrical Abstraction,,
457,Minimalism,,
458,Lyrical Abstraction,,
459,Lyrical Abstraction,,
460,Art Informel,,
461,Minimalism,,
462,Op Art,,
463,Op Art,,
464,Transautomatism,,
465,Fauvism,,
466,Transautomatism,,
467,Minimalism,,
468,Minimalism,,
469,Minimalism,,
470,Purism,,
471,Color Field Painting,,
472,Art Informel,,
473,Minimalism,,
474,Transautomatism,,
475,Nouveau RÌ©alisme,,
476,Lyrical Abstraction,,
477,Tachisme,,
478,Early Renaissance,,
479,NaÌøve Art (Primitivism),,
480,Lyrical Abstraction,,
481,Transautomatism,,
482,Pop Art,,
483,Minimalism,,
484,Transautomatism,,
485,Pop Art,,
486,Transautomatism,,
487,Realism,,
488,SÅçsaku hanga,,
489,Transautomatism,,
490,Transautomatism,,
491,Light and Space,,
492,Transautomatism,,
493,Color Field Painting,,
494,Nouveau RÌ©alisme,,
495,Minimalism,,
496,Kinetic Art,,
497,Abstract Art,,
498,Concretism,,
499,Transautomatism,,
500,Kinetic Art,,
501,Pop Art,,
502,Minimalism,,
503,Abstract Expressionism,,
504,Minimalism,,
505,Transautomatism,,
506,Transautomatism,,
507,Minimalism,,
508,Minimalism,,
509,Abstract Expressionism,,
510,Transautomatism,,
511,Minimalism,,
512,Color Field Painting,,
513,Color Field Painting,,
514,Color Field Painting,,
515,Lyrical Abstraction,,
516,Color Field Painting,,
517,Transautomatism,,
518,Transautomatism,,
519,Transautomatism,,
520,Color Field Painting,,
521,Cubism,,
522,Transautomatism,,
523,Hard Edge Painting,,
524,Lyrical Abstraction,,
525,Lyrical Abstraction,,
526,Color Field Painting,,
527,Contemporary Realism,,
528,Minimalism,,
529,Transautomatism,,
530,Minimalism,,
531,Impressionism,,
532,Transautomatism,,
533,Transautomatism,,
534,Neo-Dada,,
535,Art Informel,,
536,Lyrical Abstraction,,
537,Transautomatism,,
538,Transautomatism,,
539,Minimalism,,
540,Op Art,,
541,Transautomatism,,
542,Concretism,,
543,Op Art,,
544,Color Field Painting,,
545,Color Field Painting,,
546,Abstract Expressionism,,
547,Minimalism,,
548,Transautomatism,,
549,Transautomatism,,
550,Dada,,
551,Transautomatism,,
552,Minimalism,,
553,Kinetic Art,,
554,Color Field Painting,,
555,Transautomatism,,
556,SÅçsaku hanga,,
557,Transautomatism,,
558,Minimalism,,
559,Transautomatism,,
560,Conceptual Art,,
561,Transautomatism,,
562,Concretism,,
563,Transautomatism,,
564,Neo-Expressionism,,
565,Transautomatism,,
566,Transautomatism,,
567,Transautomatism,,
568,Transautomatism,,
569,Transautomatism,,
570,Art Informel,,
571,Transautomatism,,
572,SÅçsaku hanga,,
573,Transautomatism,,
574,Constructivism,,
575,Cubism,,
576,Art Informel,,
577,Minimalism,,
578,Transautomatism,,
579,Tachisme,,
580,Transautomatism,,
581,Minimalism,,
582,SÅçsaku hanga,,
583,Minimalism,,
584,Transautomatism,,
585,Outsider art,,
586,Transautomatism,,
587,Art Informel,,
588,Light and Space,,
589,Transautomatism,,
590,SÅçsaku hanga,,
591,Kinetic Art,,
592,Abstract Expressionism,,
593,SÅçsaku hanga,,
594,Mechanistic Cubism,,
595,Neo-Minimalism,,
596,Minimalism,,
597,Kinetic Art,,
598,Neo-Pop Art,,
599,Minimalism,,
600,Transautomatism,,
601,Transautomatism,,
602,Transautomatism,,
603,Art Nouveau (Modern),,
604,Hard Edge Painting,,
605,Minimalism,,
606,Transautomatism,,
607,Transautomatism,,
608,Concretism,,
609,Transautomatism,,
610,Abstract Expressionism,,
611,Concretism,,
612,Minimalism,,
613,Concretism,,
614,Transautomatism,,
615,Transautomatism,,
616,Tachisme,,
617,Op Art,,
618,Cubism,,
619,Transautomatism,,
620,Transautomatism,,
621,Minimalism,,
622,SÅçsaku hanga,,
623,Minimalism,,
624,Color Field Painting,,
625,Op Art,,
626,Transautomatism,,
627,Minimalism,,
628,SÅçsaku hanga,,
629,SÅçsaku hanga,,
630,Transautomatism,,
631,Transautomatism,,
632,Color Field Painting,,
633,Art Nouveau (Modern),,
634,Color Field Painting,,
635,SÅçsaku hanga,,
636,Abstract Expressionism,,
637,SÅçsaku hanga,,
638,Transautomatism,,
639,Minimalism,,
640,Color Field Painting,,
641,Transautomatism,,
642,SÅçsaku hanga,,
643,Transautomatism,,
644,Minimalism,,
645,Nouveau RÌ©alisme,,
646,Color Field Painting,,
647,Transautomatism,,
648,Transautomatism,,
649,SÅçsaku hanga,,
650,SÅçsaku hanga,,
651,Transautomatism,,
652,Transautomatism,,
653,Transautomatism,,
654,Transautomatism,,
655,SÅçsaku hanga,,
656,SÅçsaku hanga,,
657,SÅçsaku hanga,,
658,Transautomatism,,
659,Abstract Expressionism,,
660,Magic Realism,,
661,Transautomatism,,
662,Transautomatism,,
663,SÅçsaku hanga,,
664,SÅçsaku hanga,,
665,Minimalism,,
666,Transautomatism,,
667,Baroque,,
668,Baroque,,
669,Constructivism,,
670,Magic Realism,,
671,SÅçsaku hanga,,
672,Abstract Expressionism,,
673,Maximalism,,
674,Conceptual Art,,
675,Transautomatism,,
676,Baroque,,
677,Tachisme,,
678,Op Art,,
679,Magic Realism,,
680,Baroque,,
681,Abstract Expressionism,,
682,Transautomatism,,
683,Realism,,
684,SÅçsaku hanga,,
685,Baroque,,
686,NaÌøve Art (Primitivism),,
687,Impressionism,,
688,Art Nouveau (Modern),,
689,Maximalism,,
690,Ink and wash painting,,
691,Romanticism,,
692,NaÌøve Art (Primitivism),,
693,Magic Realism,,
694,Symbolism,,
695,Baroque,,
696,Impressionism,,
697,Realism,,
698,Impressionism,,
699,Realism,,
700,Transautomatism,,
701,Transautomatism,,
702,Expressionism,,
703,Baroque,,
704,Impressionism,,
705,Realism,,
706,SÅçsaku hanga,,
707,Orientalism,,
708,NaÌøve Art (Primitivism),,
709,Cubism,,
710,Naturalism,,
711,Magic Realism,,
712,Realism,,
713,Baroque,,
714,Romanticism,,
715,Impressionism,,
716,Romanticism,,
717,Expressionism,,
718,Op Art,,
719,Mughal,,
720,Romanticism,,
721,Hard Edge Painting,,
722,Divisionism,,
723,Post-Impressionism,,
724,Orientalism,,
725,Ukiyo-e,,
726,Post-Impressionism,,
727,Baroque,,
728,Magic Realism,,
729,Impressionism,,
730,Impressionism,,
731,Post-Impressionism,,
732,Abstract Expressionism,,
733,Naturalism,,
734,Romanticism,,
735,Realism,,
736,Early Renaissance,,
737,NaÌøve Art (Primitivism),,
738,NaÌøve Art (Primitivism),,
739,Impressionism,,
740,Academicism,,
741,Impressionism,,
742,Baroque,,
743,Realism,,
744,Impressionism,,
745,Realism,,
746,Impressionism,,
747,Op Art,,
748,Ukiyo-e,,
749,Romanticism,,
750,NaÌøve Art (Primitivism),,
751,Expressionism,,
752,NaÌøve Art (Primitivism),,
753,Magic Realism,,
754,Romanticism,,
755,High Renaissance,,
756,Realism,,
757,New European Painting,,
758,Surrealism,,
759,Divisionism,,
760,Impressionism,,
761,Op Art,,
762,Impressionism,,
763,Impressionism,,
764,Romanticism,,
765,Post-Impressionism,,
766,Shin-hanga,,
767,NaÌøve Art (Primitivism),,
768,Baroque,,
769,Academicism,,
770,Realism,,
771,Romanticism,,
772,Expressionism,,
773,Art Nouveau (Modern),,
774,Baroque,,
775,Impressionism,,
776,Realism,,
777,Impressionism,,
778,Surrealism,,
779,Art Nouveau (Modern),,
780,Impressionism,,
781,Ink and wash painting,,
782,Post-Impressionism,,
783,Baroque,,
784,Impressionism,,
785,Realism,,
786,Realism,,
787,Realism,,
788,Realism,,
789,Realism,,
790,Romanticism,,
791,Impressionism,,
792,Impressionism,,
793,Romanticism,,
794,Impressionism,,
795,Impressionism,,
796,Naturalism,,
797,Romanticism,,
798,Post-Impressionism,,
799,NaÌøve Art (Primitivism),,
800,Romanticism,,
801,Realism,,
802,NaÌøve Art (Primitivism),,
803,NaÌøve Art (Primitivism),,
804,Post-Impressionism,,
805,Cubism,,
806,Impressionism,,
807,Realism,,
808,Post-Impressionism,,
809,Baroque,,
810,Ukiyo-e,,
811,Post-Impressionism,,
812,Post-Impressionism,,
813,Realism,,
814,Realism,,
815,Baroque,,
816,NaÌøve Art (Primitivism),,
817,Precisionism,,
818,Impressionism,,
819,Expressionism,,
820,Expressionism,,
821,Realism,,
822,Impressionism,,
823,Symbolism,,
824,Romanticism,,
825,Realism,,
826,Baroque,,
827,Post-Impressionism,,
828,Art Deco,,
829,Romanticism,,
830,Realism,,
831,Realism,,
832,Ink and wash painting,,
833,Rococo,,
834,Romanticism,,
835,Realism,,
836,Expressionism,,
837,SÅçsaku hanga,,
838,Realism,,
839,Symbolism,,
840,Baroque,,
841,Cloisonnism,,
842,Impressionism,,
843,Cubism,,
844,Realism,,
845,Realism,,
846,Realism,,
847,Romanticism,,
848,Mannerism (Late Renaissance),,
849,Impressionism,,
850,Impressionism,,
851,Romanticism,,
852,Realism,,
853,Ink and wash painting,,
854,Surrealism,,
855,Impressionism,,
856,Symbolism,,
857,Impressionism,,
858,Baroque,,
859,Orientalism,,
860,Romanticism,,
861,Academicism,,
862,Baroque,,
863,Impressionism,,
864,NaÌøve Art (Primitivism),,
865,Cubism,,
866,Impressionism,,
867,Impressionism,,
868,Impressionism,,
869,Ukiyo-e,,
870,Color Field Painting,,
871,Post-Impressionism,,
872,Ukiyo-e,,
873,Romanticism,,
874,Baroque,,
875,Impressionism,,
876,Art Nouveau (Modern),,
877,Pop Art,,
878,Mughal,,
879,Cloisonnism,,
880,Baroque,,
881,Realism,,
882,Cubism,,
883,Romanticism,,
884,Orientalism,,
885,Ukiyo-e,,
886,Expressionism,,
887,Impressionism,,
888,AnalyticalåÊRealism,,
889,Baroque,,
890,Impressionism,,
891,Expressionism,,
892,Impressionism,,
893,Realism,,
894,Ukiyo-e,,
895,Art Nouveau (Modern),,
896,Romanticism,,
897,Realism,,
898,Ukiyo-e,,
899,Futurism,,
900,Art Nouveau (Modern),,
901,Impressionism,,
902,Rococo,,
903,Baroque,,
904,Art Deco,,
905,Symbolism,,
906,Realism,,
907,Neoclassicism,,
908,Neoclassicism,,
909,Impressionism,,
910,Academicism,,
911,Realism,,
912,Impressionism,,
913,Realism,,
914,Mannerism (Late Renaissance),,
915,Surrealism,,
916,Impressionism,,
917,Pop Art,,
918,Baroque,,
919,Surrealism,,
920,Realism,,
921,Realism,,
922,Ukiyo-e,,
923,Symbolism,,
924,Realism,,
925,Neoclassicism,,
926,Surrealism,,
927,Romanticism,,
928,Neoclassicism,,
929,Romanticism,,
930,Socialist Realism,,
931,NaÌøve Art (Primitivism),,
932,NaÌøve Art (Primitivism),,
933,Impressionism,,
934,Abstract Expressionism,,
935,SÅçsaku hanga,,
936,Impressionism,,
937,Romanticism,,
938,Rococo,,
939,Romanticism,,
940,Symbolism,,
941,Impressionism,,
942,Neoclassicism,,
943,Impressionism,,
944,Luminism,,
945,Realism,,
946,Baroque,,
947,Romanticism,,
948,Muralism,,
949,Neo-Expressionism,,
950,Realism,,
951,Ukiyo-e,,
952,Realism,,
953,Realism,,
954,Symbolism,,
955,Ukiyo-e,,
956,Symbolism,,
957,Neoclassicism,,
958,Baroque,,
959,Impressionism,,
960,Neoclassicism,,
961,Neoclassicism,,
962,Baroque,,
963,Impressionism,,
964,Romanticism,,
965,Baroque,,
966,Impressionism,,
967,Conceptual Art,,
968,NaÌøve Art (Primitivism),,
969,Surrealism,,
970,Impressionism,,
971,Pointillism,,
972,Romanticism,,
973,Romanticism,,
974,Realism,,
975,Impressionism,,
976,Romanticism,,
977,Northern Renaissance,,
978,Baroque,,
979,Realism,,
980,Orientalism,,
981,Impressionism,,
982,Art Nouveau (Modern),,
983,Art Nouveau (Modern),,
984,Romanticism,,
985,Art Nouveau (Modern),,
986,Academicism,,
987,Orientalism,,
988,Art Nouveau (Modern),,
989,Art Nouveau (Modern),,
990,Art Nouveau (Modern),,
991,Cubism,,
992,Impressionism,,
993,Impressionism,,
994,Academicism,,
995,Realism,,
996,Romanticism,,
997,Rococo,,
998,Impressionism,,
999,Realism,,
1000,Rococo,,
1001,Pop Art,,
1002,Expressionism,,
1003,Art Nouveau (Modern),,
1004,Neoclassicism,,
1005,Romanticism,,
1006,Romanticism,,
1007,Realism,,
1008,Art Nouveau (Modern),,
1009,Ukiyo-e,,
1010,Naturalism,,
1011,Realism,,
1012,NaÌøve Art (Primitivism),,
1013,Realism,,
1014,Neoclassicism,,
1015,Naturalism,,
1016,Post-Impressionism,,
1017,Romanticism,,
1018,Romanticism,,
1019,Tonalism,,
1020,Baroque,,
1021,NaÌøve Art (Primitivism),,
1022,Impressionism,,
1023,Post-Impressionism,,
1024,Surrealism,,
1025,Realism,,
1026,Realism,,
1027,Post-Impressionism,,
1028,Post-Impressionism,,
1029,NaÌøve Art (Primitivism),,
1030,Realism,,
1031,Baroque,,
1032,Realism,,
1033,Romanticism,,
1034,Symbolism,,
1035,Impressionism,,
1036,Symbolism,,
1037,Romanticism,,
1038,Minimalism,,
1039,Rococo,,
1040,Expressionism,,
1041,Realism,,
1042,Impressionism,,
1043,Realism,,
1044,Impressionism,,
1045,Post-Impressionism,,
1046,Surrealism,,
1047,Realism,,
1048,Magic Realism,,
1049,Academicism,,
1050,Regionalism,,
1051,Academicism,,
1052,Romanticism,,
1053,Romanticism,,
1054,Romanticism,,
1055,Romanticism,,
1056,Modernismo,,
1057,Romanticism,,
1058,Romanticism,,
1059,Romanticism,,
1060,Neoclassicism,,
1061,Post-Impressionism,,
1062,Romanticism,,
1063,Abstract Art,,
1064,Romanticism,,
1065,Romanticism,,
1066,Romanticism,,
1067,Realism,,
1068,Romanticism,,
1069,Symbolism,,
1070,Romanticism,,
1071,Expressionism,,
1072,Neoclassicism,,
1073,Post-Impressionism,,
1074,Post-Impressionism,,
1075,Futurism,,
1076,Impressionism,,
1077,Neoclassicism,,
1078,Impressionism,,
1079,Art Deco,,
1080,Surrealism,,
1081,Realism,,
1082,Ukiyo-e,,
1083,Symbolism,,
1084,Rococo,,
1085,Realism,,
1086,Magic Realism,,
1087,Impressionism,,
1088,Cubism,,
1089,Realism,,
1090,Expressionism,,
1091,Symbolism,,
1092,Op Art,,
1093,Realism,,
1094,Impressionism,,
1095,Expressionism,,
1096,Realism,,
1097,Surrealism,,
1098,Realism,,
1099,Pop Art,,
1100,Impressionism,,
1101,Romanticism,,
1102,Baroque,,
1103,Surrealism,,
1104,Baroque,,
1105,Expressionism,,
1106,Romanticism,,
1107,Romanticism,,
1108,Realism,,
1109,Realism,,
1110,Symbolism,,
1111,Surrealism,,
1112,Ink and wash painting,,
1113,Realism,,
1114,Baroque,,
1115,Art Nouveau (Modern),,
1116,Impressionism,,
1117,Realism,,
1118,Post-Impressionism,,
1119,Realism,,
1120,Baroque,,
1121,Baroque,,
1122,Impressionism,,
1123,Expressionism,,
1124,Futurism,,
1125,Shin-hanga,,
1126,Contemporary Realism,,
1127,Baroque,,
1128,Realism,,
1129,Romanticism,,
1130,Romanticism,,
1131,Baroque,,
1132,Neoclassicism,,
1133,Academicism,,
1134,Baroque,,
1135,Realism,,
1136,Romanticism,,
1137,Romanticism,,
1138,Art Nouveau (Modern),,
1139,Pointillism,,
1140,Regionalism,,
1141,Impressionism,,
1142,Impressionism,,
1143,Baroque,,
1144,Neoclassicism,,
1145,Romanticism,,
1146,Baroque,,
1147,Academicism,,
1148,NaÌøve Art (Primitivism),,
1149,Post-Impressionism,,
1150,Academicism,,
1151,Impressionism,,
1152,Romanticism,,
1153,Romanticism,,
1154,Tonalism,,
1155,Realism,,
1156,Cubism,,
1157,Baroque,,
1158,Naturalism,,
1159,Divisionism,,
1160,Romanticism,,
1161,Post-Impressionism,,
1162,Ink and wash painting,,
1163,Realism,,
1164,New European Painting,,
1165,NaÌøve Art (Primitivism),,
1166,Tonalism,,
1167,Post-Impressionism,,
1168,Realism,,
1169,Realism,,
1170,Impressionism,,
1171,Romanticism,,
1172,Romanticism,,
1173,Impressionism,,
1174,Symbolism,,
1175,Ukiyo-e,,
1176,Impressionism,,
1177,Expressionism,,
1178,Impressionism,,
1179,Impressionism,,
1180,Abstract Art,,
1181,Academicism,,
1182,Romanticism,,
1183,Romanticism,,
1184,Surrealism,,
1185,Realism,,
1186,Symbolism,,
1187,Realism,,
1188,Realism,,
1189,Impressionism,,
1190,NaÌøve Art (Primitivism),,
1191,Impressionism,,
1192,NaÌøve Art (Primitivism),,
1193,Post-Impressionism,,
1194,Ukiyo-e,,
1195,Baroque,,
1196,Art Nouveau (Modern),,
1197,NaÌøve Art (Primitivism),,
1198,International Gothic,,
1199,Impressionism,,
1200,Art Nouveau (Modern),,
1201,Post-Impressionism,,
1202,Expressionism,,
1203,Surrealism,,
1204,Impressionism,,
1205,Impressionism,,
1206,Surrealism,,
1207,Ukiyo-e,,
1208,Realism,,
1209,Academicism,,
1210,Shin-hanga,,
1211,Post-Impressionism,,
1212,Impressionism,,
1213,Art Nouveau (Modern),,
1214,Symbolism,,
1215,Romanticism,,
1216,Baroque,,
1217,Expressionism,,
1218,Surrealism,,
